"ont"	"label"	"sample"	"dataset"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.2"	"Blueprint-Encode"
"CL:0000540"	"Neurons"	"Purkinje.cell"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"endometrial.microvascular.endothelial.cells"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"cardiac.ventricle.fibroblast"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.arm.2"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"aortic.smooth.muscle.cell"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"vein.endothelial.cell"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.trachea.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.coronary.artery.1"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"bladder.microvascular.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue.1"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.bladder"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"cardiac.ventricle.fibroblast.1"	"Blueprint-Encode"
"CL:0000669"	"Pericytes"	"pericyte.cell"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"kidney.epithelial.cell.1"	"Blueprint-Encode"
"CL:0000669"	"Pericytes"	"pericyte.cell.1"	"Blueprint-Encode"
NA	"Preadipocytes"	"subcutaneous.preadipocyte"	"Blueprint-Encode"
"CL:0000148"	"Melanocytes"	"melanocyte.of.skin.3"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue.of.omentum.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.proximal.tubule.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.lung"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.alveolus.of.lung"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.bladder.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"cardiac.atrium.fibroblast.1"	"Blueprint-Encode"
"CL:0000312"	"Keratinocytes"	"hair.follicular.keratinocyte.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.umbilical.artery"	"Blueprint-Encode"
"CL:0000127"	"Astrocytes"	"astrocyte"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"endometrial.microvascular.endothelial.cells.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.lung.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"glomerular.endothelial.cell"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"nasal.cavity.respiratory.epithelium.epithelial.cell.of.viscerocranial.mucosa"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.the.aortic.adventitia.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"airway.epithelial.cell"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"vein.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"glomerular.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"bronchus.fibroblast.of.lung.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.blood.vessel.endothelial.cell"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"pericardium.fibroblast.1"	"Blueprint-Encode"
"CL:0000540"	"Neurons"	"Purkinje.cell.1"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.3"	"Blueprint-Encode"
NA	"Preadipocytes"	"subcutaneous.preadipocyte.1"	"Blueprint-Encode"
"CL:0000650"	"Mesangial cells"	"mesangial.cell"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"mammary.microvascular.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000540"	"Neurons"	"Purkinje.cell.2"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.4"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.blood.vessel.endothelial.cell.1"	"Blueprint-Encode"
