NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
MORN2	1	2.38	24.05	1.1	1	1.24	1.07	1.47	1	1	1.35	1.08	1.6	13.945	5.965	22.87	10.16	10.97	1.28	13.15	12.92	3.48	10.67	101.525	4.575	1	1	1	9.505	9.225	6.53	6.155	4.475	4.09	7.28	3.13	6.15	2.43	355.14	2.435	4.005	4.46	5.035
MOSPD1	2.53	3.595	5.43	5.32	4.19	3.57	2.97	3.13	3.06	3.55	1.79	2.63	2.2	23.375	8.215	1	6.17	29.725	2.91	35.67	28.61	7.47	33.42	135.335	10.095	5.65	1.79	3.84	7.69	9.655	19.695	8.385	7.985	7.3	8.455	9.12	12.465	4.1	4.715	18.59	4.255	25.62	7.275
MOV10L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10.475	1	1	1	1	1.045	1	1	1	1	1	3.5	1	1	1.04	1.795	1	1.195	1
MOXD1	1	1	1	1	1	1	1	1	1	1	1.63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.85	14.26	20.66	8.49	11.645	1	2.16	1	6.435	1	1	5.48	9.545	49.56	42.46
MPDZ	1	1	3.135	1	1	1	1	1	1	1	1	1	1	1.445	3.79	1.37	2.9	1	1	2.32	4.49	1	1	1	29.425	1	1	1	14.575	12.765	22.905	9.63	14.065	6.16	6.125	24.825	16.34	12.3	10.55	16.77	8.36	15.85	9.14
MPEG1	30.51	152.595	1	1	1	1	1	1	1	1	23.76	67.42	27.08	1	1	1	1	66.26	1	1	1	1	11.81	1	1	3.85	6.67	8.09	1	1	1	1	1	1.32	1	1	1	13.38	1	1	1	1	1
MPHOSPH6	1	23.57	18.285	17.75	7.13	8.97	7.86	11.49	18.15	7.96	6.845	7.98	7.54	19.79	12.705	11.59	16.36	26.855	14.55	38	25.73	10.64	13.75	20.805	14.28	98.69	2.9	1.955	10.04	9.145	7.445	21.1	14.17	2.64	34.785	18.71	8.625	5.97	69.12	12.85	7.555	40.845	6.46
MPL	1	1	29.4	1	1	1	1	1	1	1	1	1	1	42.47	37.615	1	19.17	1	1	1	22.26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MPO	1.26	3.41	18.275	1	1	1	1	1	1	1	1	1	1	1	49.665	17.99	2071.22	1.14	102.43	1.01	1	1621.85	1	1	1	1	72.56	1	1	1	1	1	1	1	1	1	1.015	1	1	1	1	1	1
MPP1	91.94	97.215	179.735	8.97	2.4	1.88	1.81	1.65	2.96	3.9	2.19	2.07	1.03	88.295	92.855	34.95	118.52	141.56	7.33	250.22	434.2	86.5	69.22	91.285	12.35	13.79	54.4	2.25	6.035	8.65	8.14	3.455	6.25	5.32	2.74	12.86	6.14	13.39	26.455	4.23	4.295	11.27	7.75
